timestamp,gun_id,rank,point
1765139625.3670712,1001,1,0
1765139625.3670712,1008,2,0
1765139625.3670712,1009,3,0
1765139625.3670712,1013,4,0
1765139625.3670712,1015,5,0
1765139625.3670712,1017,6,0
1765139625.3670712,1021,7,0
1765139625.3670712,1022,8,0
1765139625.3670712,1023,9,0
1765139625.3670712,1024,10,0
1765139625.3670712,1025,11,0
1765139625.3670712,1026,12,0
1765139625.3670712,1027,13,0
1765139625.3670712,1028,14,0
1765139625.3670712,1029,15,0
1765139625.3670712,1032,16,0
1765139625.3670712,1033,17,0
1765139625.3670712,1034,18,0
1765139625.3670712,1035,19,0
1765139625.3670712,1036,20,0
1765139625.3670712,1037,21,0
1765139625.3670712,1038,22,0
1765139625.3670712,1039,23,0
1765139625.3670712,1040,24,0
1765139625.3670712,1041,25,0
1765139625.3670712,1042,26,0
1765139625.3670712,1043,27,0
1765139625.3670712,1044,28,0
1765139625.3670712,1045,29,0
1765139625.3670712,1047,30,0
1765139625.3670712,1048,31,0
1765139625.3670712,1050,32,0
1765139625.3670712,1051,33,0
1765139625.3670712,1052,34,0
1765139625.3670712,1053,35,0
1765139625.3670712,1054,36,0
1765139625.3670712,1055,37,0
1765139625.3670712,1056,38,0
1765139625.3670712,1057,39,0
1765139625.3670712,1059,40,0
1765139625.3670712,1064,41,0
